Idx,x,y,z,network_id
0,-24.66,-97.84,-12.33,-1
1,26.68,-97.3,-13.49,-1
2,23.96,31.94,-17.78,-1
3,-56.16,-44.76,-24.23,-1
4,8.13,41.12,-24.31,-1
5,-21.38,-22.22,-19.97,-1
6,17.44,-28.06,-17.32,-1
7,-37.26,-28.8,-25.58,-1
8,64.6,-24.41,-18.57,-1
9,51.79,-34.17,-27.23,-1
10,55.18,-30.8,-16.93,-1
11,33.55,38.46,-12.03,-1
12,-7.12,-52.22,60.71,1
13,-13.74,-17.95,39.84,1
14,0.05,-14.53,46.74,1
15,9.5,-1.84,44.73,1
16,-6.9,-20.59,65.21,1
17,-6.79,-33.09,72.27,1
18,13.19,-32.82,74.98,1
19,-53.52,-22.54,43.1,1
20,28.88,-16.95,70.55,1
21,9.94,-45.52,72.63,1
22,-22.5,-30.1,72.44,1
23,-39.63,-19.04,54.21,1
24,28.54,-39.24,59.17,1
25,50.24,-20.37,41.74,1
26,-38.28,-27.17,69.45,1
27,20.21,-28.8,59.8,1
28,44.34,-7.55,56.98,1
29,-29.1,-43,60.66,1
30,10.09,-17.1,74.14,1
31,22.45,-42.29,68.99,1
32,-45.1,-31.85,46.63,1
33,-20.66,-31.33,60.85,1
34,-12.96,-17.34,74.66,1
35,42.14,-20.24,54.59,1
36,-38.24,-14.57,68.72,1
37,-16.25,-45.8,73.22,1
38,2.4,-27.94,60.15,1
39,3.45,-17.44,58.45,1
40,37.74,-17.3,45.01,1
41,-49.47,-11.06,34.95,2
42,36.04,-9.44,13.95,2
43,51.14,-5.8,32.42,2
44,-52.84,-10.23,24.41,2
45,65.64,-7.88,24.83,2
46,-2.88,2.38,53.21,3
47,54.22,-27.83,33.64,3
48,19.33,-7.71,63.88,3
49,-16.14,-4.82,70.83,3
50,-10.48,-2.1,42.02,3
51,36.73,0.78,-3.57,3
52,13.21,-1.36,69.98,3
53,6.52,7.69,50.58,3
54,-44.76,0.1,8.83,3
55,49.4,8.32,-1.12,3
56,-34.37,3.29,4.19,3
57,-51.26,8.26,-2.06,3
58,-5.33,17.8,34.41,3
59,35.83,10.32,1.18,3
60,31.75,-26.33,12.91,4
61,65.43,-33.2,19.97,4
62,57.88,-15.62,7.49,4
63,-38.43,-33.34,16.98,4
64,-60.48,-25.22,13.82,4
65,-49.14,-26.3,5.18,4
66,43.45,-22.93,19.85,4
67,-49.77,-34.36,25.74,4
68,-52.92,-21.83,22.97,4
69,-55.22,-9.42,11.73,4
70,55.96,-5.03,13.25,4
71,59.4,-17.34,28.69,4
72,-30.12,-27.02,12.2,4
73,-40.5,-75.27,25.8,5
74,5.55,66.69,-3.55,5
75,8.36,47.59,-15.18,5
76,-12.6,-39.64,0.93,5
77,-17.65,63.19,-9.17,5
78,-45.79,-60.69,20.85,5
79,43.43,-72.21,28,5
80,-43.58,11.99,-34.15,5
81,45.64,16.2,-30.02,5
82,-68.47,-22.66,-15.74,5
83,-57.97,-25.69,-14.73,-1
84,27.06,16.22,-16.93,-1
85,-44.45,-64.64,34.78,5
86,-39.05,-74.95,43.72,5
87,-6.84,-54.9,27.05,5
88,5.91,-58.82,35.45,5
89,-11.29,-56.2,15.6,5
90,-2.94,-48.79,12.87,5
91,7.94,-48.37,30.57,5
92,15.12,-63.09,25.98,5
93,-2.2,-36.68,43.85,5
94,10.77,-53.83,17.09,5
95,52.04,-59.37,35.52,5
96,23.33,33.07,47.68,5
97,-10.09,39.09,52.29,5
98,-16.4,28.52,53.05,5
99,-35.36,19.86,50.8,5
100,22.11,39.21,38.9,5
101,12.73,54.87,38.19,5
102,-10.33,54.63,38.71,5
103,-19.78,45.07,39.48,5
104,5.94,54.42,16.18,5
105,6.11,63.98,21.96,5
106,-7.04,50.82,-1.29,5
107,8.8,54.23,3.45,5
108,-3.06,44.41,-9.46,5
109,7.51,42.49,-5.35,5
110,-11.06,44.62,7.61,5
111,-2.06,37.85,36.34,5
112,-2.5,41.7,16.05,5
113,-20.16,63.65,19.39,5
114,-7.55,48.08,23.18,5
115,64.64,-11.8,-19.3,5
116,-55.72,-12.96,-10.24,5
117,-57.75,-29.7,-3.94,5
118,64.8,-30.55,-8.7,5
119,-68.3,-41.41,-5.14,5
120,13.08,29.99,58.65,5
121,12.25,35.63,20.3,5
122,52.16,-2.43,-16.4,5
123,-26.44,-39.95,-8.26,5
124,26.94,-37.34,-12.76,5
125,-33.93,-38.06,-15.6,5
126,28.46,-76.56,-31.64,5
127,51.9,6.81,-29.61,5
128,-52.89,2.55,-27.06,5
129,46.68,-50.08,28.76,5
130,-49.3,-42.15,0.83,5
131,-30.63,18.71,-18.98,-1
132,-2.47,-34.8,31.07,6
133,-6.58,-71.47,41.74,6
134,11.27,-66.01,42.09,6
135,4.2,-48.06,50.71,6
